id|cat_name|cat_id|fb_id|name|latitude|longitude
411069019054879|Beach|199165013440146|411069019054879|Lala-O San Juan Siquijor|9.1646401511111|123.48622714
252930771494579|Outdoors|272705352802676|252930771494579|Kagusuan Beach, Siquijor|9.24141324|123.57588547
557518630972070|Wildlife Sanctuary|156982297694225|557518630972070|Caticugan Siquijor Marine Sanctuary|9.20961|123.49026
137586009754522|School|365182493518892|137586009754522|Naval State University Naval Biliran|9.22401|123.5541
300724476675390|Local Business|2500|300724476675390|bagacay,larena,siquijor|9.2599947|123.59632941667
203236586385299|Beach Resort|199734546726648|203236586385299|Coral Cay Resort, Siquijor|9.1717645690102|123.47656884556
339514766105030|Local Business|2500|339514766105030|Townview Guesthouse|9.2456814606555|123.59292662882
704109242976332|Local Business|2500|704109242976332|Bagsa,larena,siquijor|9.24759815|123.590809
174231799404883|Beach|199165013440146|174231799404883|Flora's Dive Resort|9.2467780312098|123.58412080709
810608522350693|Beach|199165013440146|810608522350693|Cangbagsa Beach|9.2472129409455|123.59143987298
145047795643272|Local Business|2500|145047795643272|Ytaya, Lazi, Siquijor|9.1331242033333|123.57191199667
360340894163473|Mountain|194201147294761|360340894163473|Balolang, Larena|9.24887388|123.593507785
338770859562329|Residence|192049437499122|338770859562329|White Villas, San Juan , Siquijor|9.1728942723438|123.47503584813
208757169190866|Beach Resort|199734546726648|208757169190866|Blue Wave Resort,  Siquijor|9.2141096061181|123.49602154793
864407660254705|Dance Club|176139629103647|864407660254705|Jaiyam's Garden Inn & Resto Bar|9.2041815203884|123.50939397626
303885622993397|Hospital|133152263416981|303885622993397|Siquijor Provincial Hospital|9.2196413853292|123.51732810503
119854204725889|Tours &amp; Sightseeing|124861974254366|119854204725889|SIQUIJOR ISLAND TOURS|9.24670463|123.591149814
404451676304608|Inn|181803978524025|404451676304608|ISLA INN|9.2128476496984|123.49658489227
1644129792507769|Museum|197817313562497|1644129792507769|Kanheron|9.22295599|123.55537203333
468412289874282|Beach|199165013440146|468412289874282|Charisma Beach Resort Siquijor|9.1690258222525|123.48014590879
193851850767727|Restaurant|273819889375819|193851850767727|Mix Halo-Halo Ang Food House|9.2442679935056|123.5897198562
345042358934893|Beach|199165013440146|345042358934893|The Bruce, San Juan, Siquijor|9.1726470441191|123.47559223441
410080605831412|Filipino Restaurant|107287559351594|410080605831412|The Baha Ba'r - Siquijor Island|9.1519010078571|123.49942975405
592323800843383|Asian Fusion Restaurant|174201535963762|592323800843383|Treasure Island Siqujor|9.1704833604532|123.47896814346
672582109465741|Reservoir|317580934980424|672582109465741|Lugnason Falls|9.24487155|123.58972554
701270273249623|Residence|192049437499122|701270273249623|Looc,maria,siquijor|9.21279952|123.51512427
325041970994637|Hospitality Service|180699075298665|325041970994637|Islandia Beach Resort|9.12283108|123.53780280333
306625472724695|Cemetery|191060874251260|306625472724695|Siquijor Cemetery|9.19861|123.50731
591406740870966|Local Business|2500|591406740870966|Dondeezco Beach Resort Dumanhog Siquijor Siquijor|9.214312|123.49433298333
329384457126317|Park|115090141929327|329384457126317|Mt. Bandilaan View Park|9.172466625|123.47557226
455910121179861|Residence|192049437499122|455910121179861|Solangon, San Juan, Siquijor|9.1662395347666|123.48425381215
